OBS_ID,THS,THR,ALF,N,K0,L,M,OBS_ID,site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNO3M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt,theta_fc,theta_pwp
1,46.255,8.964,0.01504,1.27964,224.2768,-1.23752,0.156773021,1,1,5,0.202,0.32,0.417,1,4.3,1.31,0.71,0.41,0.04,34,31,35,8,29.05,1.8,0.3,6,103.2,34,31,35,0.41,1.31,8,2.5,0,5,32.16724879,17.15664031
2,47.26,8.96,0.01607,1.27811,276.904,-1.287,0.150298121,2,1,15,0.201,0.319,0.424,0.7,4.3,1.27,0.6,0.35,0.04,34,31,35,8,28.95,3.6,0.6,12,103.2,34,31,35,0.35,1.27,8,10,5,15,32.46233549,17.28963016
3,47.26,8.96,0.01607,1.27811,276.904,-1.287,0.171663783,3,1,30,0.199,0.319,0.424,0.6,4.3,1.27,0.46,0.27,0.03,34,31,35,8,28.9,5.4,0.9,18,103.2,34,31,35,0.27,1.27,8,22.5,15,30,32.46233549,17.28963016
4,46.478,8.954,0.01552,1.27975,239.4047,-1.26193,0.179010094,4,1,50,0.198,0.318,0.419,0.4,4.3,1.3,0.41,0.24,0.02,34,31,35,8,28.8,7.2,1.3,24,103.2,34,31,35,0.24,1.3,8,40,30,50,32.11655298,17.12089379
5,42.107,8.697,0.01354,1.26553,100,-1.34244,0.228032784,5,1,60,0.198,0.318,0.387,0.3,4.3,1.47,0.28,0.16,0.02,34,31,35,8,28.8,3.6,0.6,12,103.2,34,31,35,0.16,1.47,8,55,50,60,30.49817503,16.84405957
6,42.107,8.697,0.01354,1.26553,100,-1.34244,0.183805148,6,1,70,0.198,0.318,0.387,0.3,4.3,1.47,0.28,0.16,0.02,34,31,35,8,28.8,2.8,0.5,12,103.2,34,31,35,0.16,1.47,8,65,60,70,30.49817503,16.84405957
7,39.144,7.721,0.01642,1.23988,100,-1.8139,0.227748974,7,1,90,0.186,0.299,0.359,0.2,4.3,1.57,0.52,0.3,0.03,30,25,45,8,27.075,5.5,1,23,103.2,30,25,45,0.3,1.57,8,80,70,90,28.20677354,16.10578949
8,38.786,7.054,0.01976,1.24862,120.8183,-1.86083,0.200670715,8,1,110,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.6,0.1,23,103.2,25,20,55,0.1,1.57,8,100,90,110,26.60198526,14.76069636
9,38.14513886,7.47896164,0.015792147,1.258234264,68.96797087,-1.406675622,0.205235441,9,1,120,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.3,0,12,103.2,25,20,55,0.1,1.57,8,115,110,120,27.02218947,14.95002397
10,38.2495888,7.623543559,0.015052285,1.264318652,58.4500907,-1.396054634,0.209060154,10,1,130,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.3,0,12,103.2,25,20,55,0.1,1.57,8,125,120,130,27.16036772,14.93274336
11,38.138,6.388,0.02075,1.26896,146.9218,-1.66192,0.242239235,11,1,150,0.136,0.254,0.336,0.1,4.3,1.57,0,0,0,20,20,60,8,22.45,0.6,0.1,24,103.2,20,20,60,0,1.57,8,140,130,150,24.98043479,13.16650481
12,38.138,6.388,0.02075,1.26896,146.9218,-1.66192,0.25419652,12,1,170,0.136,0.254,0.336,0.1,4.3,1.57,0,0,0,20,20,60,8,22.45,0.6,0.1,24,103.2,20,20,60,0,1.57,8,160,150,170,24.98043479,13.16650481
13,38.115,6.201,0.02232,1.27914,176.1655,-1.63017,0.298947391,13,1,190,0.128,0.244,0.331,0,4.3,1.57,0,0,0,18,17,65,8,21.5,0.6,0.1,23,103.2,18,17,65,0,1.57,8,180,170,190,24.1819331,12.49833479
14,38.115,6.201,0.02232,1.27914,176.1655,-1.63017,0.298947391,14,1,210,0.128,0.244,0.331,0,4.3,1.57,0,0,0,18,17,65,8,21.5,0.6,0.1,23,103.2,18,17,65,0,1.57,8,200,190,210,24.1819331,12.49833479
15,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.237408719,15,2,5,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,1.8,0.3,7,96,22,45,33,2,1.4,6.5,2.5,0,5,29.61599442,12.69699378
16,41.23,7.165,0.00745,1.38533,152.1018,-0.20627,0.149744348,16,2,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,1.8,0.3,7,96,22,45,33,2,1.4,6.5,7.5,5,10,29.61599442,12.69699378
17,47.15169218,4.303946427,0.055279277,1.162253707,317.0118905,-1.998550419,0.139602658,17,2,20,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,3.6,0.6,13,43.2,22,45,33,1.24,1.4,6.5,15,10,20,30.9279606,18.70323527
18,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.115236551,18,2,30,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,3.6,0.6,13,43.2,22,45,33,1.24,1.4,6.5,25,20,30,30.37208626,12.76404967
19,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123781872,19,2,40,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,3.6,0.6,12,38.4,22,45,33,0.98,1.4,6.5,35,30,40,30.37208626,12.76404967
20,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.123004228,20,2,50,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,3.6,0.6,12,38.4,22,45,33,0.98,1.4,6.5,45,40,50,30.37208626,12.76404967
21,41.443,7.34,0.00655,1.40067,144.996,-0.09819,0.133942649,21,2,60,0.19,0.31,0.42,0.5,1.6,1.4,1.69,0.98,0.1,22,45,33,6.5,28,3.6,0.6,12,38.4,22,45,33,0.98,1.4,6.5,55,50,60,30.37208626,12.76404967
22,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.124652009,22,2,70,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,2.8,0.5,10,36,22,45,33,0.9,1.4,6.5,65,60,70,30.80726251,12.79446996
23,41.564,7.444,0.00609,1.41026,141.0033,-0.04173,0.130151493,23,2,90,0.215,0.315,0.43,0.4,1.5,1.4,1.55,0.9,0.09,22,45,33,6.5,29,5.5,1,20,36,22,45,33,0.9,1.4,6.5,80,70,90,30.80726251,12.79446996
