location,name_full,name_short,name_database,name_xnm,name_gtp,0-,G1,G2,GK,GO,GR,I1,I2,IK,IO,IR
1,"Maricopa, USA",USMA,XN3e_01_Mar_USA ,USMA.xnm,USMA.gtp,USMA0QXX.xnw,USMAG1XF.xnw,USMAG2XF.xnw,USMAGKXF.xnw,USMAGOXF.xnw,USMAGRXF.xnw,USMAI1XF.xnw,USMAI2XF.xnw,USMAIKXF.xnw,USMAIOXF.xnw,USMAIRXF.xnw
2,"Obregon, Mexico",MXOB,XN3e_02_Obr_MEX ,MXOB.xnm,MXOB.gtp,MXOB0QXX.xnw,MXOBG1XF.xnw,MXOBG2XF.xnw,MXOBGKXF.xnw,MXOBGOXF.xnw,MXOBGRXF.xnw,MXOBI1XF.xnw,MXOBI2XF.xnw,MXOBIKXF.xnw,MXOBIOXF.xnw,MXOBIRXF.xnw
3,"Toluca, Mexico",MXTO,XN3e_03_Tol_MEX ,MXTO.xnm,MXTO.gtp,MXTO0QXX.xnw,MXTOG1XF.xnw,MXTOG2XF.xnw,MXTOGKXF.xnw,MXTOGOXF.xnw,MXTOGRXF.xnw,MXTOI1XF.xnw,MXTOI2XF.xnw,MXTOIKXF.xnw,MXTOIOXF.xnw,MXTOIRXF.xnw
4,"Londrina, Brazil",BRLO,XN3e_04_Lon_BRA ,BRLO.xnm,BRLO.gtp,BRLO0QXX.xnw,BRLOG1XF.xnw,BRLOG2XF.xnw,BRLOGKXF.xnw,BRLOGOXF.xnw,BRLOGRXF.xnw,BRLOI1XF.xnw,BRLOI2XF.xnw,BRLOIKXF.xnw,BRLOIOXF.xnw,BRLOIRXF.xnw
5,"Aswan, Egypt",EGAS,XN3e_05_Asw_EGY ,EGAS.xnm,EGAS.gtp,EGAS0QXX.xnw,EGASG1XF.xnw,EGASG2XF.xnw,EGASGKXF.xnw,EGASGOXF.xnw,EGASGRXF.xnw,EGASI1XF.xnw,EGASI2XF.xnw,EGASIKXF.xnw,EGASIOXF.xnw,EGASIRXF.xnw
6,"Wad Medani, Sudan",SUWM,XN3e_06_Wad_SUD ,SUWM.xnm,SUWM.gtp,SUWM0QXX.xnw,SUWMG1XF.xnw,SUWMG2XF.xnw,SUWMGKXF.xnw,SUWMGOXF.xnw,SUWMGRXF.xnw,SUWMI1XF.xnw,SUWMI2XF.xnw,SUWMIKXF.xnw,SUWMIOXF.xnw,SUWMIRXF.xnw
7,"Dharwar, India",INDH,XN3e_07_Dha_IND ,INDH.xnm,INDH.gtp,INDH0QXX.xnw,INDHG1XF.xnw,INDHG2XF.xnw,INDHGKXF.xnw,INDHGOXF.xnw,INDHGRXF.xnw,INDHI1XF.xnw,INDHI2XF.xnw,INDHIKXF.xnw,INDHIOXF.xnw,INDHIRXF.xnw
8,"Dinajpur, Bangladesh",BDDI,XN3e_08_Din_BAN ,BDDI.xnm,BDDI.gtp,BDDI0QXX.xnw,BDDIG1XF.xnw,BDDIG2XF.xnw,BDDIGKXF.xnw,BDDIGOXF.xnw,BDDIGRXF.xnw,BDDII1XF.xnw,BDDII2XF.xnw,BDDIIKXF.xnw,BDDIIOXF.xnw,BDDIIRXF.xnw
9,"Wageningen, The Netherlands",NLWA,XN3e_09_Wag_NL ,NLWA.xnm,NLWA.gtp,NLWA0QXX.xnw,NLWAG1XF.xnw,NLWAG2XF.xnw,NLWAGKXF.xnw,NLWAGOXF.xnw,NLWAGRXF.xnw,NLWAI1XF.xnw,NLWAI2XF.xnw,NLWAIKXF.xnw,NLWAIOXF.xnw,NLWAIRXF.xnw
10,"Balcarce, Argentina",ARBA,XN3e_10_Bal_ARG ,ARBA.xnm,ARBA.gtp,ARBA0QXX.xnw,ARBAG1XF.xnw,ARBAG2XF.xnw,ARBAGKXF.xnw,ARBAGOXF.xnw,ARBAGRXF.xnw,ARBAI1XF.xnw,ARBAI2XF.xnw,ARBAIKXF.xnw,ARBAIOXF.xnw,ARBAIRXF.xnw
11,"Ludhiana, India",INLU,XN3e_11_Lud_IND ,INLU.xnm,INLU.gtp,INLU0QXX.xnw,INLUG1XF.xnw,INLUG2XF.xnw,INLUGKXF.xnw,INLUGOXF.xnw,INLUGRXF.xnw,INLUI1XF.xnw,INLUI2XF.xnw,INLUIKXF.xnw,INLUIOXF.xnw,INLUIRXF.xnw
12,"Indore, India",ININ,XN3e_12_Ind_IND ,ININ.xnm,ININ.gtp,ININ0QXX.xnw,INING1XF.xnw,INING2XF.xnw,ININGKXF.xnw,ININGOXF.xnw,ININGRXF.xnw,ININI1XF.xnw,ININI2XF.xnw,ININIKXF.xnw,ININIOXF.xnw,ININIRXF.xnw
13,"Madison, USA",USMD,XN3e_13_Mad_USA ,USMD.xnm,USMD.gtp,USMD0QXX.xnw,USMDG1XF.xnw,USMDG2XF.xnw,USMDGKXF.xnw,USMDGOXF.xnw,USMDGRXF.xnw,USMDI1XF.xnw,USMDI2XF.xnw,USMDIKXF.xnw,USMDIOXF.xnw,USMDIRXF.xnw
14,"Manhattan, USA",USMN,XN3e_14_Man_USA ,USMN.xnm,USMN.gtp,USMN0QXX.xnw,USMNG1XF.xnw,USMNG2XF.xnw,USMNGKXF.xnw,USMNGOXF.xnw,USMNGRXF.xnw,USMNI1XF.xnw,USMNI2XF.xnw,USMNIKXF.xnw,USMNIOXF.xnw,USMNIRXF.xnw
15,"Rothamsted, UK",UKRO,XN3e_15_Rot_UK ,UKRO.xnm,UKRO.gtp,UKRO0QXX.xnw,UKROG1XF.xnw,UKROG2XF.xnw,UKROGKXF.xnw,UKROGOXF.xnw,UKROGRXF.xnw,UKROI1XF.xnw,UKROI2XF.xnw,UKROIKXF.xnw,UKROIOXF.xnw,UKROIRXF.xnw
16,"Estrees-Mons, France",FREM,XN3e_16_Est_FRA ,FREM.xnm,FREM.gtp,FREM0QXX.xnw,FREMG1XF.xnw,FREMG2XF.xnw,FREMGKXF.xnw,FREMGOXF.xnw,FREMGRXF.xnw,FREMI1XF.xnw,FREMI2XF.xnw,FREMIKXF.xnw,FREMIOXF.xnw,FREMIRXF.xnw
17,"Orleans, France",FROR,XN3e_17_Orl_FRA ,FROR.xnm,FROR.gtp,FROR0QXX.xnw,FRORG1XF.xnw,FRORG2XF.xnw,FRORGKXF.xnw,FRORGOXF.xnw,FRORGRXF.xnw,FRORI1XF.xnw,FRORI2XF.xnw,FRORIKXF.xnw,FRORIOXF.xnw,FRORIRXF.xnw
18,"Schleswig, Germany",GESC,XN3e_18_Sch_GER ,GESC.xnm,GESC.gtp,GESC0QXX.xnw,GESCG1XF.xnw,GESCG2XF.xnw,GESCGKXF.xnw,GESCGOXF.xnw,GESCGRXF.xnw,GESCI1XF.xnw,GESCI2XF.xnw,GESCIKXF.xnw,GESCIOXF.xnw,GESCIRXF.xnw
19,"Nanjing, China",CHNJ,XN3e_19_Nan_CHN ,CHNJ.xnm,CHNJ.gtp,CHNJ0QXX.xnw,CHNJG1XF.xnw,CHNJG2XF.xnw,CHNJGKXF.xnw,CHNJGOXF.xnw,CHNJGRXF.xnw,CHNJI1XF.xnw,CHNJI2XF.xnw,CHNJIKXF.xnw,CHNJIOXF.xnw,CHNJIRXF.xnw
20,"Luancheng, China",CHLU,XN3e_20_Lua_CHN ,CHLU.xnm,CHLU.gtp,CHLU0QXX.xnw,CHLUG1XF.xnw,CHLUG2XF.xnw,CHLUGKXF.xnw,CHLUGOXF.xnw,CHLUGRXF.xnw,CHLUI1XF.xnw,CHLUI2XF.xnw,CHLUIKXF.xnw,CHLUIOXF.xnw,CHLUIRXF.xnw
21,"Harbin, China",CHHA,XN3e_21_Har_CHN ,CHHA.xnm,CHHA.gtp,CHHA0QXX.xnw,CHHAG1XF.xnw,CHHAG2XF.xnw,CHHAGKXF.xnw,CHHAGOXF.xnw,CHHAGRXF.xnw,CHHAI1XF.xnw,CHHAI2XF.xnw,CHHAIKXF.xnw,CHHAIOXF.xnw,CHHAIRXF.xnw
22,"Kojonup, Australia",AUKO,XN3e_22_Koj_AUS ,AUKO.xnm,AUKO.gtp,AUKO0QXX.xnw,AUKOG1XF.xnw,AUKOG2XF.xnw,AUKOGKXF.xnw,AUKOGOXF.xnw,AUKOGRXF.xnw,AUKOI1XF.xnw,AUKOI2XF.xnw,AUKOIKXF.xnw,AUKOIOXF.xnw,AUKOIRXF.xnw
23,"Griffith, Australia",AUGR,XN3e_23_Gri_AUS ,AUGR.xnm,AUGR.gtp,AUGR0QXX.xnw,AUGRG1XF.xnw,AUGRG2XF.xnw,AUGRGKXF.xnw,AUGRGOXF.xnw,AUGRGRXF.xnw,AUGRI1XF.xnw,AUGRI2XF.xnw,AUGRIKXF.xnw,AUGRIOXF.xnw,AUGRIRXF.xnw
24,"Karaj, Iran",IRKA,XN3e_24_Kar_IRA ,IRKA.xnm,IRKA.gtp,IRKA0QXX.xnw,IRKAG1XF.xnw,IRKAG2XF.xnw,IRKAGKXF.xnw,IRKAGOXF.xnw,IRKAGRXF.xnw,IRKAI1XF.xnw,IRKAI2XF.xnw,IRKAIKXF.xnw,IRKAIOXF.xnw,IRKAIRXF.xnw
