site,sllb,slll,sldul,slsat,slrgf,sksat,slbdm,SLOM,sloc,slni,slcly,slsil,slsnd,slphw,ICH2O,ICNH4M,ICNH4M,awc,sksat_d,USCLAY,USSILT,USSAND,OC,BD,PH_H2O,DEPTH_M,hz_tp,hz_bt
1,5,0.202,0.32,0.417,1,4.3,1.31,0.71,0.41,0.04,34,31,35,8,29.05,1.8,0.3,6,103.2,34,31,35,0.41,1.31,8,2.5,0,5
1,15,0.201,0.319,0.424,0.7,4.3,1.27,0.6,0.35,0.04,34,31,35,8,28.95,3.6,0.6,12,103.2,34,31,35,0.35,1.27,8,10,5,15
1,30,0.199,0.319,0.424,0.6,4.3,1.27,0.46,0.27,0.03,34,31,35,8,28.9,5.4,0.9,18,103.2,34,31,35,0.27,1.27,8,22.5,15,30
1,50,0.198,0.318,0.419,0.4,4.3,1.3,0.41,0.24,0.02,34,31,35,8,28.8,7.2,1.3,24,103.2,34,31,35,0.24,1.3,8,40,30,50
1,60,0.198,0.318,0.387,0.3,4.3,1.47,0.28,0.16,0.02,34,31,35,8,28.8,3.6,0.6,12,103.2,34,31,35,0.16,1.47,8,55,50,60
1,70,0.198,0.318,0.387,0.3,4.3,1.47,0.28,0.16,0.02,34,31,35,8,28.8,2.8,0.5,12,103.2,34,31,35,0.16,1.47,8,65,60,70
1,90,0.186,0.299,0.359,0.2,4.3,1.57,0.52,0.3,0.03,30,25,45,8,27.075,5.5,1,23,103.2,30,25,45,0.3,1.57,8,80,70,90
1,110,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.6,0.1,23,103.2,25,20,55,0.1,1.57,8,100,90,110
1,120,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.3,0,12,103.2,25,20,55,0.1,1.57,8,115,110,120
1,130,0.159,0.275,0.347,0.1,4.3,1.57,0.17,0.1,0.01,25,20,55,8,24.6,0.3,0,12,103.2,25,20,55,0.1,1.57,8,125,120,130
1,150,0.136,0.254,0.336,0.1,4.3,1.57,0,0,0,20,20,60,8,22.45,0.6,0.1,24,103.2,20,20,60,0,1.57,8,140,130,150
1,170,0.136,0.254,0.336,0.1,4.3,1.57,0,0,0,20,20,60,8,22.45,0.6,0.1,24,103.2,20,20,60,0,1.57,8,160,150,170
1,190,0.128,0.244,0.331,0,4.3,1.57,0,0,0,18,17,65,8,21.5,0.6,0.1,23,103.2,18,17,65,0,1.57,8,180,170,190
1,210,0.128,0.244,0.331,0,4.3,1.57,0,0,0,18,17,65,8,21.5,0.6,0.1,23,103.2,18,17,65,0,1.57,8,200,190,210
2,5,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,1.8,0.3,7,96,22,45,33,2,1.4,6.5,2.5,0,5
2,10,0.17,0.301,0.4,1,4,1.4,3.44,2,0.2,22,45,33,6.5,26.825,1.8,0.3,7,96,22,45,33,2,1.4,6.5,7.5,5,10
2,20,0.18,0.31,0.41,0.7,1.8,1.4,2.13,1.24,0.12,22,45,33,6.5,27.75,3.6,0.6,13,43.2,22,45,33,1.24,1.4,6.5,15,10,20
