treatment,code_baseline_rcp,name_baseline_rcp,code_gcm,name_gcm,co2_ppm,code_trait,trait_name
1,0,Baseline,-,-,360,N,Normal
2,0,Baseline,-,-,360,T,High-yield
3,G,RCP4.5,K,HadGEM2-ES,499,N,Normal
4,G,RCP4.5,O,MIROC5,499,N,Normal
5,G,RCP4.5,R,MPI-ESM-MR,499,N,Normal
6,G,RCP4.5,1,GFDL-CM3,499,N,Normal
7,G,RCP4.5,2,GISS-E2_R,499,N,Normal
8,G,RCP4.5,K,HadGEM2-ES,499,T,High-yield
9,G,RCP4.5,O,MIROC5,499,T,High-yield
10,G,RCP4.5,R,MPI-ESM-MR,499,T,High-yield
11,G,RCP4.5,1,GFDL-CM3,499,T,High-yield
12,G,RCP4.5,2,GISS-E2_R,499,T,High-yield
13,I,RCP8.5,K,HadGEM2-ES,571,N,Normal
14,I,RCP8.5,O,MIROC5,571,N,Normal
15,I,RCP8.5,R,MPI-ESM-MR,571,N,Normal
16,I,RCP8.5,1,GFDL-CM3,571,N,Normal
17,I,RCP8.5,2,GISS-E2_R,571,N,Normal
18,I,RCP8.5,K,HadGEM2-ES,571,T,High-yield
19,I,RCP8.5,O,MIROC5,571,T,High-yield
20,I,RCP8.5,R,MPI-ESM-MR,571,T,High-yield
21,I,RCP8.5,1,GFDL-CM3,571,T,High-yield
22,I,RCP8.5,2,GISS-E2_R,571,T,High-yield
