number_site,code_site,name_site,code_country,name_country,latitude,longitude,water_regime,name_variety,growth_habit,requirement_vernalisation,requirement_photoperiod_sensitivity,sowing_season,date_sowing,date_anthesis,date_maturity,date_fert1,date_fert2
1,MA,- Märicopa,US,USA,33.06,-112.05,Irrigated,Yecora,Spring,No/low,No/low,Autumn,1980-12-25,1981-04-05,1981-05-15,1981-01-22,1981-03-08
2,OB,Obregon,MX,Mexico,27.43,-109.92,Irrigated,Bacanora,Spring,Low,Low,Autumn,1980-12-01,1981-02-27,1981-04-08,1980-12-29,1981-01-30
3,TO,Toluca,MX,Mexico,19.4,-99.68,Rainfed,TacupetoC2001-SW,Spring,Low,Low,Spring,1981-05-10,1981-08-05,1981-09-20,1981-06-07,1981-07-08
4,LO,Londrina,BR,Brazil,-23.31,-51.13,Irrigated,Atilla,Spring,Low/medium,Low/medium,Autumn,1981-04-20,1981-07-10,1981-09-01,1981-05-18,1981-06-12
5,AS,Aswan,EG,Egypt,24.1,32.9,Irrigated,SeriM82,Spring,Low/medium,Low,Autumn,1980-11-20,1981-03-20,1981-04-30,1980-12-18,1981-02-21
6,WM,WadMedani,SU,Sudan,14.4,33.5,Irrigated,Debeira,Spring,Low/medium,Low,Autumn,1980-11-20,1981-01-25,1981-02-25,1980-12-18,1980-12-28
7,DH,Dharwar,IN,India,15.43,75.12,Irrigated,Debeira,Spring,Low/medium,Low,Autumn,1980-10-25,1981-01-15,1981-02-25,1980-11-22,1980-12-18
8,DI,Dinajpur,BD,Bangladesh,25.65,88.68,Irrigated,Kanchan,Spring,LowVR,Low,Autumn,1980-12-01,1981-02-15,1981-03-15,1980-12-29,1981-01-18
9,WA,Wageningen,NL,TheNetherlands,51.97,5.63,Rainfed,Aminda,Winter,High,High,Autumn,1980-11-05,1981-06-25,1981-08-05,1980-12-03,1981-05-28
10,BA,Balcarce,AR,Argentina,-37.75,-58.3,Rainfed,Oasis,Winter,Medium/high,High/medium,Autumn,1981-08-05,1981-11-25,1981-12-25,1981-09-02,1981-10-28
11,LU,Ludhiana,IN,India,30.9,75.85,Irrigated,HD2687,Spring,No/low,No/low,Autumn,1980-11-15,1981-02-05,1981-04-05,1980-12-13,1981-01-08
